English lemma,Swedish lemma,POS,status
it system,it-system,,swedish misspelt
java persistence api,java persistens api,,both misspelt
kalman filtering,kalmanfiltrering,,english misspelt
kernel mode,kernel-läge,,swedish misspelt
keyboard acoustic emanations,tangentbord akustiska emana,,swedish misspelt
kibibyte,kibibyte,,swedish misspelt
kinematics and dynamics,kinematik och dynamik,,both misspelt
knowledge representation formalisms and methods,kunskapsrepresentationens formalismer och metoder,,english misspelt
language parsing and understanding,språkparsning och språkförståelse,,both misspelt
languages and compilers,språk och kompilatorer,,english misspelt
languages and structures,språk och strukturer,,english misspelt
languages and systems,språk och system,,english misspelt
laptop,laptop,,swedish misspelt
leeper,leeper,,both misspelt
legal aspects of computing,rättsliga aspekter på databehandling,,english misspelt
life and medical sciences,biologi och medicin,,english misspelt
limit limits limiter limited limiting limitation limitations,gräns gränser begränsaren begränsade begränsande begränsande begränsningar,,swedish misspelt
line and curve generation,generering av linjer och kurvor,,english misspelt
linear search,linjärsökning,,swedish misspelt
linkers,länkare,,both misspelt
linux,linux,,swedish misspelt
litterature study,litteraturstudie,,english misspelt
liturgical year app,kyrkoårsapp,,both misspelt
locator location locations located locate,lokator locators plats platser belägna lokalisera,,swedish misspelt
logics and meanings of programs,logik och innebörd hos program,,english misspelt
logics of programs,logik hos program,,english misspelt
lognormal,lognormala,,english misspelt
low-fi prototype,låg-fidelity prototyp,,both misspelt
low-tier,låg-tier,,swedish misspelt
machine to machine,maskin-till-maskin,,english misspelt
macro,makro,,swedish misspelt
macro and assembly languages,makrospråk och assemblerspråk,,both misspelt
macro-mobility,makro mobilitet,,swedish misspelt
mail,mail,,swedish misspelt
majority based quorum technique,majoritet baserad kvorum teknik,,swedish misspelt
management of computing and information systems,styrning av databehandling och informationssystem,,english misspelt
managements of demands,kravhantering,,english misspelt
map maps mapping mappings mapped,karta kartor kartläggning avbildningar mappade,,swedish misspelt
mathematical modelling,matematiskmodellering,,swedish misspelt
mathematics and statistics,matematik och statistik,,english misspelt
media transcoding,media omkodning,,english misspelt
medicine and science,medicin och naturvetenskap,,english misspelt
memory control and access,minneskontroll och åtkomst,,english misspelt
merits and demerits,fördelar och nackdelar,,english misspelt
message messages messaging,meddelande meddelanden messaging,,swedish misspelt
meta files,metafiler,,english misspelt
meta-modeling,meta-modellering,,english misspelt
metamodelagent,meta-modell agent,,english misspelt
metatheory,metateori,,english misspelt
methodology and techniques,metoder och tekniker,,english misspelt
microarchitecture level,mikroarkitekturnivå,,english misspelt
microcellular-packet-switching,mikrocellulärt-paketförmedling,,english misspelt
microcontoller,mikrokontroller,,english misspelt
microcontroller,mikrokontroller,,english misspelt
micromobility micro-mobility,mikromobilitet,,english misspelt
microprocessors and microcomputers,mikroprocessorer och mikrodatorer,,english misspelt
microprogrammed logic arrays,mikroprogrammerade logiska matriser,,english misspelt
microprogramming languages,mikroprogrammeringsspråk,,english misspelt
middleware,mellanprogramvara,,english misspelt
million instructions per second,miljoner instruktioner per sekund,,english misspelt
mix-and-match,blanda och matcha,,english misspelt
mobile ad hoc networks,mobila ad hoc-nätverk,,both misspelt
mobile browsers,mobila webbläsare,,swedish misspelt
mobile internet,mobilt internet,,swedish misspelt
mobile ip,mobil ip,,swedish misspelt
mobile ipv6,mobil ipv6,,both misspelt
mobile multi-hop ad hoc networks,mobil multi-hop ad hoc-nätverk,,both misspelt
mobile pki,mobil pki,,both misspelt
mobile point of sale,mobile-pos,,english misspelt
mobile switching center  server,msc-server,,both misspelt
mobile vpn,mobil vpn,,both misspelt
mobile web,mobila webben,,swedish misspelt
mobile web applications,mobila webbapplikationer,,swedish misspelt
model validation and analysis,modellvalidering och analys,,english misspelt
modeling and prediction,modellering och förutsägelse,,english misspelt
modeling and recovery of physical attributes,modellering och återskapande av fysiska attribut,,english misspelt
modeling of computer architecture,modellering av datorarkitektur,,english misspelt
models of computation,modeller för databehandling,,english misspelt
modes of computation,databehandlingsmetoder,,english misspelt
modifier modifiers modify modified,modifier modifierings modifiera modifierad,,swedish misspelt
modules and interfaces,moduler och gränssnitt,,english misspelt
monte carlo,monte carlo,,both misspelt
motherboard,moderkort,,english misspelt
mouse cursor,muspekaren,,swedish misspelt
multi-application,multi-applikation,,english misspelt
multi-core architecture,flerkärnig-arkitektur,,english misspelt
multi-core processor,flerkärnig processor,,english misspelt
multi-domain,multi-domän,,english misspelt
multi-layer,flerskiktiga,,english misspelt
multi-party,flerparti,,english misspelt
multi-project,multiprojekt,,english misspelt
multi-purpose,multisyften,,english misspelt
multi-region,multi-regionen,,english misspelt
multi-sensory,multisensorisk,,english misspelt
multi-slot,flerlucks,,both misspelt
multi-target,multi-mål,,english misspelt
multi-threaded semantics,flertrådade semantik,,both misspelt
multiagent systems,multiagentsystem,,english misspelt
multicast multicasts,multisändning,,english misspelt
multichannel,flerkanalig,,both misspelt
multicore,flerkärnig,,english misspelt
multihop multi-hop multi-hopping,multihop multihoppnät multi-hoppande,,english misspelt
multimedia,mulitmedia,,swedish misspelt
multimode,multimod,,english misspelt
multipath routing,flervägsdragning,,english misspelt
multiplexing multiplexer multiplexing,multiplexa multiplexor multiplexering,,both misspelt
multipoint relays,flerpunkt reläer,,english misspelt
multiprocessing,multiprocessering,,swedish misspelt
multiprotocol label switching  with traffic engineering,mpls med trafikteknik,,both misspelt
mutable,muterbar,,swedish misspelt
namespaces,namnrymder,,english misspelt
native app,nativt app,,both misspelt
neighbor discovery,neighbor upptäckt,,swedish misspelt
network architecture and design,nätarkitektur och design,,english misspelt
network security and countermeasures,nätsäkerhetsrisker och -åtgärder,,english misspelt
network-based malware detection,nätverksbaserad detektering av skadlig kod,,english misspelt
networked haptics,nätverks haptiker,,both misspelt
neural,neural,,swedish misspelt
neural network,neuralt nätverk,,swedish misspelt
neuro-fuzzy hybrid model,neuro-fuzzy hybridmodell,,both misspelt
non-idealities,icke-idealities,,swedish misspelt
non-linear pll noise model,olinjär pll brusmodell,,both misspelt
non-linear quantization effect,olinjär kvantisering effekt,,swedish misspelt
non-parametric model,icke-parametrisk modell,,swedish misspelt
nonalgebraic algorithms,icke-algebraiska algoritmer,,english misspelt
noncooperative receiver,icke kooperativ mottagare,,english misspelt
nondeterministic,icke-deterministisk,,english misspelt
nondeterministic languages,icke-deterministiska språk,,english misspelt
nonmonotonic reasoning and belief revision,icke-monotont resonemang och övertygelseförändring,,english misspelt
nonprioritized,oprioriterade,,english misspelt
nonprocedural languages,icke-procedurorienterade språk,,english misspelt
nonprocedural languages,icke-procedurorienterade språk,,english misspelt
nonsecret encoding schemes,öppna kodningsscheman,,english misspelt
object oriented cad,objektorienterad cad,,swedish misspelt
object-relational mapping,objekt-relationell mappning,,swedish misspelt
observation observational,observationen observationell,,swedish misspelt
observing network,observer nätverk,,swedish misspelt
offline physical access control,offline passersystem,,both misspelt
online computation,databehandling online,,swedish misspelt
online gaming,onlinespel,,swedish misspelt
online social networks,online sociala nätverk,,swedish misspelt
online storage,lagring online,,swedish misspelt
onscreen on-screen,på skärmen,,english misspelt
open systems interconnection reference model,osi referensmodell,,swedish misspelt
operator,operator,,swedish misspelt
opportunistic opportunistically,opportunistisk opportunist,,english misspelt
optical access networking using ofdm tones,optisk tillgång nätverk med hjälp av ofdm tones,,both misspelt
optical microcavities,optiska mikrokaviteter,,english misspelt
optical time domain reflectometer,optisk tidsdomänreflektometer,,swedish misspelt
optical time domain reflectometry,optisk tidsdomänen reflektometri,,both misspelt
organization and design,organisation och design,,english misspelt
origin origins originally originates original originate originator originating originated,ursprungs ursprung härstammar ursprungligen ursprungliga härröra originator ursprung härstammar,,swedish misspelt
orthogonal frequency division multiplexing,ortogonal frekvensdelningsmultiplex,,both misspelt
orthogonal frequency-division multiplexing,ortogonal frekvensdelningsmultiplex,,both misspelt
ospf with traffic engineering,öppen kortaste vägen först med trafikteknik,,english misspelt
out of band,utanför bandet,,english misspelt
out-of-service,ut-från tjänsten,,english misspelt
p2p churn,p2p kärna,,english misspelt
p2p replication protocol,p2p replikeringsprotokoll,,english misspelt
packet packets packetized packetization,paket paketen pakete paketering,,both misspelt
parallelism and concurrency,parallellism och samtidighet,,english misspelt
parallelism,parallelism,,swedish misspelt
parallellization,parallellisering,,english misspelt
parsing,parsning,,swedish misspelt
parsing,parsning,,swedish misspelt
partial reconfiguration,partiell omkonfigurering,,english misspelt
partition,partition,,swedish misspelt
partitioned partitioning,uppdelades partitione,,swedish misspelt
partnering declaration,partneringdeklaration,,swedish misspelt
partnering team,partneringteam,,swedish misspelt
peer-to-peer,icke-hierarkiskt,,english misspelt
peer-to-peer  network,icke-hierarkiskt nät,,english misspelt
peer-to-peer  system,icke-hierarkiskt system,,english misspelt
peer-to-peer communication,icke-hierarkiskt kommunikation,,english misspelt
peer-to-peer services,icke-hierarkiskt tjänster,,english misspelt
per-session,per-sessionen,,english misspelt
perceptual reasoning,perceptuellt resonerande,,swedish misspelt
performance analysis and design aids,hjälpmedel för prestandaanalys och konstruktion,,english misspelt
performance analysis and design aids,hjälpmedel för prestandaanalys och konstruktion,,english misspelt
performance analysis and design aids,hjälpmedel för prestandaanalys- och konstruktion,,english misspelt
performance and reliability,prestanda och tillförlitlighet,,english misspelt
performance and usage measurement,mätning av prestanda och användning,,english misspelt
performance of systems,prestanda för system,,english misspelt
persistent persistently,ihållandeihärdigt,,swedish misspelt
person-to-machine,person-till-maskin,,english misspelt
personalization,personalisering,,both misspelt
petri nets,petrinät,,both misspelt
phase-comparison monopulse,fas-jämförelseenkelpuls,,english misspelt
phaseout,avveckling,,english misspelt
physical downlink control channel,fysisk styrkanal i nedlänk,,english misspelt
physical sciences and engineering,naturvetenskap och teknik,,english misspelt
picocell,pikocell,,english misspelt
picocellular,pikocellular,,english misspelt
picoradios,picoradios,,english misspelt
piezo-electrics,piezo-el,,both misspelt
pioneer,pioneer,,swedish misspelt
pixel classification,pixelklassificering,,swedish misspelt
pixel,pixel,,swedish misspelt
pixels,pixlar,,swedish misspelt
plasmonic,plasmoniska,,both misspelt
playout,uppspelning,,english misspelt
playout buffer,uppspelningsbuffert,,english misspelt
plug-and-play,anslut-och-spela,,english misspelt
point of sale,försäljningsställe,,english misspelt
point-to-multipoint,punkt-till-multipunkt,,english misspelt
point-to-point protocol,punkt-till-punkt-protokoll,,english misspelt
point-to-point tunneling protocol,punkt-till-punkt-tunnlingsprotokoll,,both misspelt
pointer,pekare,,swedish misspelt
polls polled polling,omröstningar tillfrågade avfrågning,,swedish misspelt
polymorphism,polymorfism,,swedish misspelt
polymorphism,polymorfi,,swedish misspelt
pooled,poolade,,swedish misspelt
positioning,positionering,,swedish misspelt
power over ethernet,strömförsörjning via ethernet,,swedish misspelt
pre-call,pre-samtal,,english misspelt
pre-commercial,förkommersiell,,english misspelt
pre-planning,förprojektering,,english misspelt
pre-shared key,förväg delad nyckel,,english misspelt
preauthentication pre-authentication,pre-autentisering,,english misspelt
predefined pre-defined,fördefinierad fördefinierad,,english misspelt
prediction predictive,förutsägelse prediktiva,,swedish misspelt
prepaid pre-paid,förbetalda,,english misspelt
preprocessors,förprocessorer,,english misspelt
presence service,närvarotjansten,,swedish misspelt
price of internet service,priset på internet-tjänst,,english misspelt
pricing and resource allocation,prissättning och resursallokering,,english misspelt
probabilistic,probabilistiska,,swedish misspelt
probabilistic computation,probabilistisk databehandling,,swedish misspelt
probabilistic model,probabilistisk modell,,swedish misspelt
product lifecycle management,produktlivscykelhantering,,english misspelt
program editors,programeditorer,,swedish misspelt
programmable,programerbar,,both misspelt
programmable,programmerbart,,english misspelt
programmable logic controller,programmerbart styrsystem,,english misspelt
programmable logic controller  security,plc säkerhet,,both misspelt
programming languages and software,programspråk och program,,english misspelt
project and people management,projektstyrning och personaladministration,,english misspelt
propositional logic,satslogik,,english misspelt
proprietary,proprietära,,swedish misspelt
provision provisioned provisioning,tillhandahållande provisione provisione,,swedish misspelt
provision provisioning provisioned,tillhandahållandet provisioning tillhanda,,swedish misspelt
pseudoinverse restoration,pseudoinversbaserad restaurering,,english misspelt
psychosocial work environment,psykosocial arbetsmiljö,,english misspelt
public key cryptosystems,kryptosystem med öppna nycklar,,english misspelt
publications publically public,publikationer publicly offentlig,,swedish misspelt
qos benchmarking,tjänstekvalitet jämförande,,english misspelt
quad-division,quad-divisionen,,swedish misspelt
quality of experince,kvalitet uppleva,,english misspelt
quality of service,tjänstekvalitet,,english misspelt
quantitative,kvantitiv,,swedish misspelt
quantization step,kvantiseringssteg,,swedish misspelt
query queries queried querying,förfrågan förfrågningar avfrågas fråge,,swedish misspelt
radial basis function neural network,radial basis funktion neurala nätverk,,swedish misspelt
radiometry,radiometri,,english misspelt
radiosity,strålning,,english misspelt
radiotelecommunication,radiotelekommunikations,,english misspelt
radius authentication,radius-autentisering,,swedish misspelt
rapid prototyping,prototypsystem,,english misspelt
rayleigh-distributed,rayleigh-distribuerad,,swedish misspelt
raytracing,strålföljning,,both misspelt
reachable reachability,nåbar nåbarhet,,english misspelt
real-time and embedded systems,realtidssystem och inbyggda system,,english misspelt
real-time systems and embedded systems,realtidssystem och inbyggda system,,english misspelt
reassociation,reassociering,,english misspelt
recommender system,rekommendationssystemet,,english misspelt
reconfigurable reconfiguring reconfiguration,rekonfigurerbar omkonfigurering omkonfigurering,,english misspelt
recursion,rekursion,,swedish misspelt
recursion,rekursion,,swedish misspelt
redial,återuppringning,,english misspelt
redirect redirects redirected redirection,omdirigera omdirigeringar omdirigeras omdirigering,,english misspelt
reducibility and completeness,reducerbarhet och fullständighet,,english misspelt
reengineering,omstrukturering,,english misspelt
relations among complexity classes,relationer mellan komplexitetsklasser,,english misspelt
relations among complexity measures,relationer mellan komplexitetsmått,,english misspelt
relations among modes,relationer mellan metoder,,english misspelt
reliability and life testing,tillförlitlighet,,english misspelt
reliability and robustness,tillförlitlighet och robusthet,,english misspelt
reliability and testing,tillförlitlighet och provning,,english misspelt
reliability and testing,tillförlitlighet och provning,,english misspelt
reliability and testing,tillförlitlighet och provning,,english misspelt
remote heterodyne detection,fjärr heterodyn detektering,,swedish misspelt
remote remotely,fjärr avlägset,,swedish misspelt
remote residential control system,fjärr bostadsområde styrsystem,,swedish misspelt
remoting,fjärrkommunikation,,english misspelt
rendezvous routing,rendezvous routning,,swedish misspelt
repeater repeaters,repeatern repeatrar,,swedish misspelt
reregistration,omregistrering,,english misspelt
reroutes rerouted,omdirigerar omdirigerats,,english misspelt
resampling,omsampling,,english misspelt
resource reservation protocol - traffic engineering,resurs reservation protokoll - trafikteknik,,english misspelt
respond responds responders,reagera reagerar responders,,swedish misspelt
response responses responsible responsibilities responsive responsibility,ansvariga responssvar ansvarsområden reagerar ansvar,,swedish misspelt
responsive  design,följsam webbdesign,,both misspelt
retargetable compilers,omriktningsbara kompilatorer,,english misspelt
retransmission,återutsändning,,english misspelt
retroreflector,retroreflektor,,english misspelt
reusability,återanvändbarhet,,english misspelt
rfid pen,rfid penna,,both misspelt
rfid security model,rfid säkerhetsmodell,,both misspelt
ringback tones,ringsignaler,,english misspelt
roaming,roaming,,swedish misspelt
robotics,robotik,,swedish misspelt
robotics,robotik,,swedish misspelt
rollout,utrullning,,english misspelt
root,roota,,swedish misspelt
routers,routrar,,swedish misspelt
routing,routning,,swedish misspelt
routing and layout,routning och layout,,both misspelt
routing protocol,routingprotokoll,,swedish misspelt
routing protocols,routingprotokoll,,swedish misspelt
rtp redirection,rtp-omdirigering,,both misspelt
rules and guidelines,regler samt anvisningar,,english misspelt
run-time environments,run-timemiljöer,,swedish misspelt
runtime,körtids,,english misspelt
runtime error,exekveringsfel,,english misspelt
runtime,körningstid,,english misspelt
saas adoption,saas antagandet,,both misspelt
saas user,saas användaren,,both misspelt
sammanfattning sammanfatta sammanfattar,summary summarize summarizing,,both misspelt
sap community network,sap forumet nätverk,,swedish misspelt
sbc,sveriges bostadsrättscentrum ab,,both misspelt
scada networks,scada-nätverk,,both misspelt
scada security,scada säkerhet,,both misspelt
scale-space extrema detection,skala-space extrema detektering,,swedish misspelt
scan and print method,skanna och skriv ut-metoden,,english misspelt
screensaver,skärmsläckare,,english misspelt
script scripts scripting,skript,,swedish misspelt
scripting language,skriptspråk,,swedish misspelt
scripting languages,skriptspråk,,swedish misspelt
scrum,scrum,,swedish misspelt
seamless handover,avbrottsfri handover,,swedish misspelt
secure voip,säkra voip,,both misspelt
security and protection,säkerhet och skydd,,english misspelt
security of embedded devices,säkerheten för inbäddade enheter,,english misspelt
self-configuring,självkonfigurerande,,swedish misspelt
self-reconfigurable,själv rekonfigurerbar,,english misspelt
semantics of business vocabulary and rules,semantik för företag ordförråd och regler,,english misspelt
semantics of programming languages,semantik hos programspråk,,english misspelt
semanticweb,semantiska webben,,both misspelt
sensed amplifier flip flop,avkänningsförstärkare flip flop,,swedish misspelt
sequencing and scheduling,sekvensering och schemaläggning,,both misspelt
serial peripheral interface  interface,seriella perifera gränssnitt,,english misspelt
serialization,serialisering,,swedish misspelt
server servers,server servrar,,swedish misspelt
server,server,,swedish misspelt
server-based,serverbaserad,,swedish misspelt
servers,servrar,,swedish misspelt
service provisioning,tjänsteprovisione,,swedish misspelt
session initiation protocol for instant messaging and presence leveraging extensions,session initiation protocol för snabbmeddelanden och närvaro utnyttja förlängningar,,both misspelt
set-top box,set-top-box,,swedish misspelt
shareware,shareware,,swedish misspelt
sharpening and deblurring,skärpa och suddighet,,english misspelt
sigmoid,sigmoid,,swedish misspelt
sim card packaging process,sim-kort förpackningsprocessen,,english misspelt
simplification of expressions,förenkling av uttryck,,english misspelt
simulation and modeling,simulering och modellering,,english misspelt
single sideband modulation,enkelt sidband,,english misspelt
singleton,singleton,,swedish misspelt
sip service manager,sip servicechef,,swedish misspelt
sip signaling messages,sip-signaleringsmeddelanden,,swedish misspelt
site,sajt,,swedish misspelt
size and shape,storlek och form,,english misspelt
small and medium sized enterprises,små och medelstora företag,,english misspelt
small cell network,småcellig nätet,,swedish misspelt
small cell security,småcellig säkerhet,,swedish misspelt
small office-home office  routers,litet kontor-hemmakontor routrar,,both misspelt
smart and ip-able tv,smart tv,,english misspelt
smart card,smartkort,,swedish misspelt
smart card authentication,smartkort autentisering,,swedish misspelt
smartcards,smartkort,,both misspelt
smartphone security,smarttelefon säkerhet,,both misspelt
smartphone-app,smarttelefon-app,,both misspelt
social and behavioral sciences,socialvetenskap och beteendevetenskap,,english misspelt
social network sites,webbplatser för sociala nätverk,,swedish misspelt
socio-economic impact,socioekonomiska effekter,,english misspelt
soft-output viterbi decoder,mjuk-output viterbi-avkodare,,both misspelt
softswitch softswitches,programvara omkopplare,,english misspelt
software metrics,programvarastatistik,,swedish misspelt
something,något,,english misspelt
sorting and searching,sortering och sökning,,english misspelt
source routing,källrouting,,swedish misspelt
special-purpose and application-based systems,tillämpningsbaserade system och system för speciella ändamål,,english misspelt
specify,specifiera,,swedish misspelt
speech recognition and synthesis,taligenkänning och talsyntes,,english misspelt
state states stateful,tillstånd tillståndet tillståndskänslig,,english misspelt
static wireless ad hoc networks,statiska trådlöst ad hoc-nätverk,,both misspelt
stealth malware,smyg skadlig kod,,english misspelt
storytelling,berättande,,english misspelt
streaming multimedia,strömmande multimedie,,swedish misspelt
structure of management information,struktur informationshantering,,english misspelt
subchannels,delkanaler,,english misspelt
subnet,subnät,,english misspelt
subrating,subrating,,english misspelt
subsistance,existensminimum,,english misspelt
subtype,subtyp,,english misspelt
super  computers,superdatorer,,english misspelt
supersensors,supersensors,,english misspelt
superset,superset,,english misspelt
supervisory control and data acquisition,övervakande kontroll och datainsamling,,english misspelt
swapping,svappning,,swedish misspelt
switch,switcha,,swedish misspelt
symbolic and algebraic manipulation,symbolisk och algebraisk manipulering,,english misspelt
syncronization,synkronisering,,english misspelt
synthesizer,syntetiserare,,swedish misspelt
system on chip,systemet på chip,,swedish misspelt
system-on-chip,system-on-a-chip,,swedish misspelt
systems analysis and design,systemanalys och systemkonstruktion,,english misspelt
systems programs and utilities,systemprogram och nyttoprogram,,english misspelt
task tasks tasking,uppgift uppgifter tasking,,swedish misspelt
task-based knowledge management  framework,uppgiftsbaserad kunskapshantering ramverk,,english misspelt
taskbar,aktivitetsfält,,english misspelt
tcp performance,tcp prestanda,,swedish misspelt
telecommunication  cloud,telekommunikation moln,,english misspelt
telemedicine,telemedicin,,english misspelt
telephone telephones,telefon elefoner,,swedish misspelt
terminal terminals termination terminate terminating terminated terminates,terminala terminaler termine avsluta avslutande termine terminerar,,swedish misspelt
terminator,terminator,,swedish misspelt
testability,testbarhet,,english misspelt
testability,testbarhet,,english misspelt
testability,testbarhet,,english misspelt
testing and debugging,testning och avlusning,,english misspelt
the computer industry,datorindustrin,,english misspelt
the computing profession,databehandling som yrke,,english misspelt
theirs,deras,,english misspelt
themselves,själva,,english misspelt
third party call control,tredjeparti samtalkontrol,,swedish misspelt
those,de,,english misspelt
three-dimensional graphics and realism,tredimensionell grafik och realism,,english misspelt
time delay of arrival,tidsfördröjning för ankomst,,english misspelt
time to digital converter,tid till digital omvandlare,,english misspelt
time-division,tidsmultiplex,,swedish misspelt
timed interactive multimedia extensions for html,tidsbestämda interaktiv multimedie tillägg för html,,both misspelt
timestamp timestamps,tidsstämpel tidsstämplar,,english misspelt
toll-quality,toll-kvalitet,,swedish misspelt
toolkit,verktygslåda,,english misspelt
top-down programming,top-down-programmering,,swedish misspelt
top-down programming,top-down-programmering,,swedish misspelt
towards,mot,,english misspelt
trackpad,styrplatta,,english misspelt
traffic measurement,internet trafik,,swedish misspelt
transactional memory,transaktionsminne,,english misspelt
transborder data flow,gränsöverskridande dataflöde,,english misspelt
transcoder transcodes transcoding,omkodare omkodningar omkodning,,english misspelt
tree traversal,träd traverse,,swedish misspelt
trigger triggered,trigg triggas,,swedish misspelt
triple data encryption standard,triple datakryptering standard,,swedish misspelt
types and design styles,typer och designmodeller,,english misspelt
types of simulation,simuleringstyper,,english misspelt
types of simulation,simuleringstyper,,english misspelt
ubiquitous computing,ubika datasystem,,swedish misspelt
ultrahigh frequency  band,ultrahög frekvensband,,english misspelt
unassigned,otilldelad,,swedish misspelt
uni-directional,enkelriktad,,english misspelt
universal serial bus  modem,usb-modem,,both misspelt
unless,såvida,,english misspelt
unlicensed,olicensierad,,swedish misspelt
unparked,unparked,,both misspelt
unsynchronized,osynkroniserad,,swedish misspelt
untrusted,opålitlig,,english misspelt
user manual,användamanual,,swedish misspelt
uwb impulse radio,uwb impuls radio,,both misspelt
vector signal transceiver,vektorsignal transceiver,,both misspelt
vending,varu,,swedish misspelt
versus,kontra,,english misspelt
vertex buffer object,vertex buffert objektet,,swedish misspelt
video conferencing,videokonferenser,,english misspelt
videotelephony,videotelefoni,,english misspelt
virtualization,virtualisering,,both misspelt
vlsi,vlsi,,both misspelt
vlsi systems,vlsi-system,,both misspelt
voice and video communication,röst och videokommunikation,,english misspelt
voice over ip,röst över ip,,swedish misspelt
voice over wifi,röst över wifi,,swedish misspelt
voip capacity,voip-kapacitet,,both misspelt
voip over wlan,voip över wlan,,both misspelt
volumetric,volymetrisk,,swedish misspelt
von neumann architectures,von neumann-arkitekturer,,both misspelt
vpn-policy,vpn-policy,,both misspelt
waikato environment for knowledge analysis,waikato miljö för kunskapsanalys,,both misspelt
wavelength division multiplexing,våglängdsmultiplexering,,both misspelt
wavelength division multiplexing  network,våglängdsmultiplexering nät,,both misspelt
wavelength division multiplexing passive optical network,våglängdsmultiplexering passiva optiska nät,,both misspelt
web,webb,,swedish misspelt
web application,webbapplikation,,swedish misspelt
web audio api,webb audio api,,both misspelt
web browser,webbläsare,,swedish misspelt
web content mining,webbinnehåll gruv,,swedish misspelt
web ontology language,web ontologi språk,,swedish misspelt
web page,webbsida,,swedish misspelt
web parsing,webb pars,,swedish misspelt
web part,webbdel,,swedish misspelt
web portal,webbportal,,swedish misspelt
web real-time communications,web realtidskommunikation,,swedish misspelt
web server,webbserver,,swedish misspelt
web service,webbtjänst,,swedish misspelt
web-browser,webbläsare,,swedish misspelt
webcam,webbkamera,,swedish misspelt
weblogs,bloggar,,both misspelt
webmail,webbmail,,both misspelt
website,webbsida,,swedish misspelt
website data extraction,webbplats datautvinning,,swedish misspelt
website,webbsida,,swedish misspelt
whereas,medan,,english misspelt
whereby,varigenom,,english misspelt
whether,huruvida,,english misspelt
while-loop,while-loop,,swedish misspelt
while-statement,while-sats,,swedish misspelt
whitelist,vitlista,,english misspelt
whose,vars,,english misspelt
wideband amplifier sto cmos microwave,bredbands förstärkare sto cmos mikrovågs,,both misspelt
wideband code division multiplex access,bredbandig koduppdelad multiplex tillgång,,swedish misspelt
window managers,fönsterhanterare,,swedish misspelt
wireless backhaul,trådlös stamnät,,english misspelt
wireless machine-to-machine,trådlös maskin-till-maskin,,english misspelt
wireless positioning,trådlös positionering,,swedish misspelt
wireless reconfigurable networks,trådlösa omkonfigurerbara nätverk,,english misspelt
wireline,wireline,,both misspelt
without,utan,,english misspelt
wlan measurements,wlan-mätningar,,swedish misspelt
wlan operator roaming,wlan operatör ströva,,swedish misspelt
work-stealing,arbets stjäla,,swedish misspelt
workability,arbetbarhet,,english misspelt
workbriefing,arbetsberedning,,english misspelt
workcell organization and planning,organisation och planering av arbetsceller,,english misspelt
worst-case analysis,worst case-analys,,swedish misspelt
worst-case analysis,worst case-analys,,swedish misspelt
worst-case analysis,worst case-analys,,swedish misspelt
would,skulle,,english misspelt
writable control store,skrivbart styrminne,,english misspelt
x windowing system,x fönstersystem,,english misspelt
yourself,själv,,english misspelt
3d-model,3d-modell,,no pos found
3d-modeling,3d-modellering,,no pos found
3d-printing,3d-skrivare,,no pos found
3d-visualization,3d-visualisering,,no pos found
abstract,abstrakt,too many possible pos tags: N A,too many possible pos tags: N A
abstract,abstrakt,too many possible pos tags: N A,too many possible pos tags: N A
abstract,utdrag,too many possible pos tags: N V,too many possible pos tags: N V
accompanied,åtföljd,,no pos found
accumulator,ackumulator,,no pos found
acoustic,akustik,,no pos found
acronym,akronym,,no pos found
actuators,ställdon,,no pos found
adaptive,adaptiv,,no pos found
address-centric,adress-centrerad,,no pos found
affect,påverka,too many possible pos tags: N V,too many possible pos tags: N V
affordable,prisvärd,,no pos found
again,igen,,no pos found
airspace,luftrummet,,no pos found
algorithmic,algoritmisk,,no pos found
algorithms,algoritmer,,no pos found
algorithms,algoritmer,,no pos found
alphanumeric,alfanumerisk,,no pos found
already,redan,,no pos found
altruistic,altruistiska,,no pos found
always,alltid,,no pos found
amplitude-shift,amplitud-skift,,no pos found
analog,analog,,no pos found
analyse,analysera,,no pos found
anisotropic,anisotrop,,no pos found
anticipated,förväntad,,no pos found
application-level,applikationsnivå,,no pos found
application-specific,applikationsspecifika,,no pos found
appointed,utsedd,,no pos found
arrays,vektorer,,no pos found
artefact,artefakt,,no pos found
associative,associativ,,no pos found
asynchronous,asynkron,,no pos found
attenuation,försvagning,,no pos found
attribute-value,attributvärde,,no pos found
auditing,revision,,no pos found
auto-correlation,autokorrelations,,no pos found
automate,automatisering,,no pos found
automated,automatiserad,,no pos found
autonomous,självstyrande,,no pos found
b-tree,b-träd,,no pos found
backdoor,bakdörr,,no pos found
backtracking,bakåtspårning,,no pos found
backup,säkerhetskopiering,,no pos found
backwards,bakåt,,no pos found
basic,grundläggande,,no pos found
batches,satser,,no pos found
battery-operated,batteridriven,,no pos found
baud,baud,,no pos found
beeper,pipare,,no pos found
below,nedan,,no pos found
benchmark,riktvärde,,no pos found
benefits,fördelar,too many possible pos tags: N V,too many possible pos tags: N V
best-effort,bäst-insats,,no pos found
better,bättre,,no pos found
biased,förspända,,no pos found
bidirectional,dubbelriktad,,no pos found
billion,miljarder,,no pos found
binary,binär,,no pos found
binary,binär,,no pos found
bind,binda,too many possible pos tags: N V,too many possible pos tags: N V
biomedical,biomedicinska,,no pos found
bipolar,bipolär,,no pos found
